Timestamp,What is your Gender?,What is your age?,Name of the company you are currently working on (if you want to disclose),How many employees does your current company have?,What is your highest academic degree?,For how many years have you coded professionally?,What is your current role?,What are your expectations from the new hires?,categories,labels
12/19/2020 11:04:47,Male,25,,11 - 50,B.Sc.,2 to 5,Developer,Learn how to code cleanly and be proactive,"Knack in Standard SE practice, Motivation for Learning","clean code, proactive"
12/19/2020 11:48:25,Prefer not to say,29,Intelligent Machines ,51 - 150,B.Sc.,less than 2,Business Analyst,Eagerness to learn ,Motivation for Learning,enthusiastic
12/19/2020 12:02:09,Male,26,Intelligent Machines Limited,11 - 50,College degree (H.S.C.),less than 2,Manager,Thinking about their new company,Motivation for Learning,better thinking
12/19/2020 14:46:11,Male,26,Dingi Technologies Ltd.,11 - 50,B.Sc.,2 to 5,Developer,"Know how to code professionally, Know design patterns.",Knack in Standard SE practice,"professional, having knowledge of CS"
12/19/2020 14:52:43,Male,30,,51 - 150,B.Sc.,2 to 5,Software Architect,Know your field,Knack in Standard SE practice,professional
12/19/2020 22:54:12,Prefer not to say,28,Intelligent Machine Ltd,51 - 150,B.Sc.,less than 2,Software Architect,being eager to learn new things ,Motivation for Learning,"enthusiastic, self-learner"
12/20/2020 11:26:45,Male,27,Intelligent Machines LTD.,11 - 50,B.Sc.,2 to 5,Developer,Enthusiastic ,Motivation for Learning,enthusiastic
12/22/2020 19:09:40,Male,28,,51 - 150,B.Sc.,2 to 5,Team Lead,Self learning capabilities,Motivation for Learning,self-learner
12/22/2020 23:29:18,Male,26,Pran RFl group,501 +,B.Sc.,less than 2,R&D Engineer,That they obey by the company rules sincerity and honesty and show loyalty to the company. ,"Sincerity, Knack in Standard SE practice","sincere, maintain honesty, responsible"
12/23/2020 12:20:43,Male,24,,6 - 10,B.Sc.,less than 2,Developer,"Have a problem-solving mind. Nobody expects you to know all the technology, just learn to adapt and learn new technology. Also always be honest.","Knack in Standard SE practice, Motivation for Learning, Sincerity","problem-solving mind, self-learner, maintain honesty"
12/23/2020 12:37:21,Male,23,Dohatec New Media,151 - 500,B.Sc.,less than 2,Developer,Being friendly and sincere,Sincerity,"good behavior, sincere"
12/23/2020 13:39:00,Male,24,"Samsung R&D Institute, Bangladesh ",501 +,B.Sc.,less than 2,Developer,"Work carefully, try to learn new things ","Knack in Standard SE practice, Motivation for Learning","careful, self-learner"
12/24/2020 8:35:28,Male,24,,6 - 10,B.Sc.,less than 2,Developer,"Hard working, capable of learning new things, Talent, Good behaviour, open, team person","Sincerity, Motivation for Learning, Knack in Standard SE practice","hard working, self-learner, good behavior, transparency, team player"
1/2/2021 1:23:52,Male,26,Kona Software Lab Ltd.,51 - 150,B.Sc.,2 to 5,R&D Engineer,"Basic knowledge of algorithms, data structures & basic idea of respective frameworks i.e. spring(java), angular(typescript), android etc.",Knack in Standard SE practice,having knowledge of CS
1/2/2021 3:22:12,Male,26,CodeCrafters International Ltd.,11 - 50,B.Sc.,2 to 5,Developer,Having basic knowledge of CS fundamentals.,Knack in Standard SE practice,having knowledge of CS
1/3/2021 22:23:22,Male,27,Divergent Technologies Ltd,11 - 50,B.Sc.,2 to 5,Team Lead,To be self motivated and self learner,Motivation for Learning,"enthusiastic, self-learner"
1/4/2021 12:19:03,Male,25,Kona Software Lab LTD.,51 - 150,B.Sc.,2 to 5,R&D Engineer,Cooperative friendly and egger to share knowledge with a great understandability.,"Sincerity, Knack in Standard SE practice","co-operative, knowledge sharing"
1/4/2021 12:25:14,Male,40,Kona Software Lab Ltd,51 - 150,B.Sc.,more than 10,R&D Engineer,Eagerness of learn and work in project.,Motivation for Learning,"self-learner, enthusiastic"
1/4/2021 12:45:11,Male,30,Kona Software Lab Limited,51 - 150,B.Sc.,5 to 10,Team Lead,Should learn a specific domain before moving into another one.,Motivation for Learning,self-learner
1/4/2021 12:54:23,Male,31,Kona Software Lab Limited ,51 - 150,M.Sc.,5 to 10,R&D Engineer,"Adaptive to our culture, self motivate, ","Sincerity, Motivation for Learning","adaptive, enthusiastic"
1/4/2021 12:57:02,Male,29,Ksl,51 - 150,B.Sc.,2 to 5,R&D Engineer,"Learn, learn, learn.",Motivation for Learning,self-learner
1/4/2021 13:00:30,Male,25,Kona software lab limited ,51 - 150,B.Sc.,2 to 5,Developer,Better salary and better work life balance ,Sincerity,"transparency, adaptive"
1/4/2021 13:16:44,Male,30,Kona Software lab,51 - 150,B.Sc.,5 to 10,Team Lead,"Team player, Good Human","Knack in Standard SE practice, Sincerity","team player, good behavior"
1/4/2021 19:05:10,Male,25,Kona Software Labs Limited,51 - 150,B.Sc.,less than 2,Developer,The new hires should have the will to adapt with new technologies and should have thirst for new knowledge and learning. Thinking and designing is more important then coding random stuffs,"Sincerity, Motivation for Learning","adaptive, entusiastic, self-learner, better thinking"
1/4/2021 22:11:32,Male,25,,51 - 150,B.Sc.,less than 2,R&D Engineer,Adaptation Quality ,Sincerity,adaptive
1/5/2021 6:28:48,Male,38,Kona Software Lab Limited,51 - 150,B.Sc.,more than 10,Team Lead,Get used with the new culture and environment. Do not hesitate to ask question to your peers.,Sincerity,"adaptive, collaborative"
1/6/2021 16:25:32,Male,35,Kona Software Lab Limited,51 - 150,B.Sc.,5 to 10,Manager,"Strong basic knowledge about the technology, quick learner, team player","Knack in Standard SE practice, Motivation for Learning","technologically proficient, quick learner, team player"
1/6/2021 22:50:49,Male,25,TigerIT,51 - 150,B.Sc.,2 to 5,R&D Engineer,"cooperation, solidarity",Sincerity,"co-operative, solidarity"
1/7/2021 14:12:32,Male,28,REVE Systems,51 - 150,B.Sc.,2 to 5,Team Lead,"For freshers, solid foundation and understanding of company domain.",Knack in Standard SE practice,having knowledge of CS
1/7/2021 14:26:16,Male,24,REVE Systems,151 - 500,B.Sc.,less than 2,Developer,"Progressive, active and collaborative.","Sincerity, Motivation for Learning, Knack in Standard SE practice","progressive, proactive, team player"
1/7/2021 14:36:42,Male,28,Reve Systems,151 - 500,B.Sc.,2 to 5,Developer,"My expectation from new fresher would be that they would be more professional, as from my experience observed that though many of them are Skilled they lack some sense of responsibilities and project timeline.",Knack in Standard SE practice,"professional, responsible"
1/7/2021 17:26:45,Male,33,CodeCrafters International Ltd,11 - 50,B.Sc.,more than 10,Team Lead,Has to be open to self improvement for personal and professional gain. Has to be a good person and others have to be able to feel that.,"Motivation for Learning, Sincerity","self-improvement, good behavior"
1/7/2021 18:22:43,Male,32,Kona Software Lab,51 - 150,M.Sc.,more than 10,Manager,adaptivity,Sincerity,adaptive
1/8/2021 13:54:39,Male,36,Kona Software Lab Limited,51 - 150,B.Sc.,less than 2,Manager,"Be disciplined, hard-working and sincere.","Knack in Standard SE practice, Sincerity","responsible, hard working, sincere"
